id,month,voltage_level,transmission_line,circuit_type,executing_agency,line_length,sector
138,Jan-2021,230,Cuddalore - Veerapuram (SP Koil) Via Neyveli,D/C,TANTRANSCO,348,State Sector
139,Jan-2021,230,LILO of existing 230 kV Shoolagiri - Vinnamangalam line at the proposed Tirupattur 230 kV SS,D/C,TANTRANSCO,12,State Sector
140,Jan-2021,220,Chelari - Nallalam,M/C,KSEB,25,State Sector
141,Jan-2021,220,LILO on 220 kV Deoli (PG) - Ghatodi line for 220kV Yavatmal,D/C,MSETCL,21,State Sector
142,Jan-2021,220,Subashgram (PG) - Baruipur,D/C,WBSETCL,64,State Sector
143,Jan-2021,400,Surajmaninagar - P. K. Bari line (NER-II TL-TBCB),D/C,SGL,155,Private Sector
144,Feb-2021,765,Ranchi - Medinipur line (PM-JTL-TBCB),D/C,PGCIL,538,Central Sector
145,Feb-2021,400,LILO of both ckts. of Chandithala - Kharagpur at Medinipur (PM-JTL-TBCB),D/C,PGCIL,148,Central Sector
146,Feb-2021,400,Tumkur (Pavagada) PS - Devanahally (KPTCL) line - (Q),D/C,PGCIL,312,Central Sector
147,Feb-2021,400,LILO of both Ckts. of Mamidipalli- Dindi TMDC line to Maheshwaram S/S on M/C,M/C,TSTRANSCO,13,State Sector
148,Feb-2021,400,Madakkathara - Areekode line,D/C,KSEB,176,State Sector
149,Feb-2021,400,Nagda - Ujjain line (GEC-I),DCDS,MPPTCL,53,State Sector
150,Feb-2021,230,LILO of Thingalur - Ingur 230kV line at the proposed Erode GIS S/S,D/C,TANTRANSCO,28,State Sector
151,Feb-2021,220,2nd Ckt. Stringing of 220kV Tlwani - Miraj line (Balance work),S/C + D/C,MSETCL,9,State Sector
152,Feb-2021,220,Aluva - Kothamangalam line,D/C,KSEB,68,State Sector
153,Feb-2021,220,Bahraich - Sohawal 400 (PG) line,S/C,UPPTCL,109,State Sector
154,Feb-2021,220,Gajner - Chhatargarh line (GEC-I),D/C,RVPNL,166,State Sector
155,Feb-2021,220,Georai - Thapti Tanda s/s,D/C,MSETCL,110,State Sector
156,Feb-2021,220,LILO of 220kV Kalapaka - Dairyfarm to proposed 220/132/33kV S/S Simhachalam on MC Towers,D/C,APTRANSCO,24,State Sector
157,Feb-2021,220,LILO of 220kV Narwana - Mund line at 400kV PGCIL Jind,D/C,HVPNL,168,State Sector
158,Feb-2021,220,LILO of Firozabad (220) -Agra(PG) at Firozabad(400),D/C,UPPTCL,22,State Sector
159,Feb-2021,220,LILO of Himmatpura - jagraon at Ajitwal,D/C,PSTCL,3,State Sector
160,Feb-2021,220,LILO of one Ckt. of 220kV Ukai- Achhaliya line no. 2 at 220kV Virpor s/s on D/C and M/C Tower (Package-1) with AL-59 Condu. and OPGW,D/C,GETCO,42,State Sector
161,Feb-2021,220,Makhu - Algaon,D/C,PSTCL,101,State Sector
162,Feb-2021,220,Rachagunneru - Naidupeta line,D/C,APTRANSCO,30,State Sector
163,Feb-2021,400,Silchar (PG) - Misa (PG) (Q) line (NER-II TL-TBCB),D/C,SGL,357,Private Sector
164,Mar-2021,400,Additional 400KV D/C line at P.K.Bari s/s and Silchar S/S end for termination of P.K. Bari - Silchar 400KV D/C line,D/C,PGCIL,22,Central Sector
165,Mar-2021,400,Darbhanga - Sitamarhi (New) line (Ckt.-I) (Triple Snowbird) (ERSS XXITL - TBCB),D/C,PGCIL,80,Central Sector
166,Mar-2021,400,LILO of both Ckts. of Nabinagar-II - Gaya (Q) line at Chandauti (ERSS XXITL- TBCB),D/C,PGCIL,6,Central Sector
167,Mar-2021,400,LILO of North Trichur - Cochin line at North Trichur HDVC Station (Q),D/C,PGCIL,1,Central Sector
168,Mar-2021,400,Re-Conducting of Rangpo -New Siliguri line,D/C,PGCIL,220,Central Sector
169,Mar-2021,400,Wardha - Aurangabad line (up-gradable on 1200 kV),D/C,PGCIL,696,Central Sector
170,Mar-2021,320,Pugalur - North Trichur (Kerala) HVDC Bipole Link,HVDC,PGCIL,288,Central Sector
171,Mar-2021,400,LILO Agra(South)-Fahtehabad(Agra) at Firozabad,D/C,UPPTCL,26,State Sector
172,Mar-2021,400,LILO of Gorakhpur (PG) - Lucknow (PG) line Ckt.-IV at Basti,D/C,UPPTCL,60,State Sector
173,Mar-2021,400,LILO of one ckt. of Satna (PGCIL) - Bina (PGCIL) at Sagar (GEC-I),DCDS,MPPTCL,50,State Sector
174,Mar-2021,400,LILO of Somanahalli - Kolar SC line to Mylasandra (New Electric City),S/C,KPTCL,2,State Sector
175,Mar-2021,400,Nagda (400kV) S/S - Ujjain (400kV) S/S (Ckt-II),DCDS,MPPTCL,53,State Sector
176,Mar-2021,400,Nagda - Mandsaur (GEC-I),DCDS,MPPTCL,137,State Sector
177,Mar-2021,400,Tanda (TPS) - Bhaukhari (Basti) line,D/C,UPPTCL,88,State Sector
178,Mar-2021,400,Yurembam - Thoubal via Nambol,D/C,"ED, Manipur",90,State Sector
179,Mar-2021,220,Akal- Jaisalmer-2 line (GEC-I),D/C,RVPNL,114,State Sector
180,Mar-2021,220,Brahmapuram - Kaloor line,D/C,KSEB,23,State Sector
181,Mar-2021,220,Chichali - Udaipura,S/C,MPPTCL,47,State Sector
182,Mar-2021,220,Deroli Ahir - Narnaul,D/C,HVPNL,26,State Sector
183,Mar-2021,220,Dichpally 400kV - Banswada 220kV,D/C,TSTRANSCO,168,State Sector
184,Mar-2021,220,Dwarka - Budella,D/C,DTL,12,State Sector
185,Mar-2021,220,HDVC Kolar - T. Gollahali (Thimmasandra) line,D/C,KPTCL,58,State Sector
186,Mar-2021,220,Jammalamadugu - Chakrayapet,D/C,APTRANSCO,172,State Sector
187,Mar-2021,220,Jammalamadugu - Tirumalayapalli,D/C,APTRANSCO,34,State Sector
188,Mar-2021,220,Kalikiri - Kalikiri line,D/C,APTRANSCO,8,State Sector
189,Mar-2021,220,Kamavarapukota - Nuziveedu,D/C,APTRANSCO,90,State Sector
190,Mar-2021,220,Kudagi - Tapping point of NTPC (part of Kudagi-Vajramatti line),D/C,KPTCL,153,State Sector
191,Mar-2021,220,Kumbhargaon - Krishnoor line (Ckt-I),D/C,MSETCL,16,State Sector
192,Mar-2021,220,LILO of Arambag - Rishra at N. Chanditala,D/C,WBSETCL,31,State Sector
193,Mar-2021,220,LILO of Baraut (220)- Shamli at Nirpura line,D/C,UPPTCL,26,State Sector
194,Mar-2021,220,LILO of Bina - Gwalior at Pichhore,S/C,MPPTCL,1,State Sector
195,Mar-2021,220,LILO of Both ckt. of Badod - Ujjain at Ujjain,DCDS,MPPTCL,24,State Sector
196,Mar-2021,220,LILO of Both ckt Pulivendula - Hindupur at Gollapuram,D/C,APTRANSCO,156,State Sector
197,Mar-2021,220,LILO of both ckts. Nagda - Ujjain at Ujjain,DCDS,MPPTCL,43,State Sector
198,Mar-2021,220,LILO of Chikkodi - Ghataprabha at Mughalkod,D/C,KPTCL,12,State Sector
199,Mar-2021,220,LILO of Chormar - Fathebad line at Hukmawali,S/C,HVPNL,41,State Sector
200,Mar-2021,220,LILO of Kashipur - Pantnagar line at 220kV S/S Jafarpur,D/C,PTCUL,8,State Sector
201,Mar-2021,220,LILO of Pandharpur - Malinagar line at 220 kV Bhalawani S/S (Ckt-II),D/C,MSETCL,20,State Sector
202,Mar-2021,220,LILO of Pendurthy - Garividi at Garividi,D/C,APTRANSCO,120,State Sector
203,Mar-2021,220,LILO of Podili - Nellore at Atmakur,D/C,APTRANSCO,80,State Sector
204,Mar-2021,220,LILO of Rasra (220)- Gazipur at Rasra,D/C,UPPTCL,26,State Sector
205,Mar-2021,220,LILO to Existing 220kV Podili - Nellore line at Prakasam District,M/C,APTRANSCO,20,State Sector
206,Mar-2021,220,Pallikkara - Aluva line,D/C,KSEB,23,State Sector
207,Mar-2021,220,Pithampur -Depalpur,DCDS,MPPTCL,75,State Sector
208,Mar-2021,220,(PMDP - Kashmir) Extension of Mirbazar - Alusteng line upto New Wanpoh,D/C,JKPDD,8,State Sector
209,Mar-2021,220,R.K. Puram- Ridge Valley Ckt-I,S/C,DTL,5,State Sector
210,Mar-2021,220,R.K. Puram - Ridge Valley Ckt-II,S/C,DTL,5,State Sector
211,Mar-2021,220,R.K. Puram-Trauma Centre Ckt-I,S/C,DTL,5,State Sector
212,Mar-2021,220,R.K. Puram- Trauma Centre Ckt-II,S/C,DTL,5,State Sector
213,Mar-2021,765,Agra (UP)-Greater Noida (WUPPTCL)(GTL-TBCB),S/C,APL,159,Private Sector
214,Mar-2021,765,Fatehgarh PS/S - Bhadla (PG) (initially to be operated at 400 ,D/C,APL,292,Private Sector
215,Mar-2021,765,Ghatampur TPS-Agra (UP) (GTL-TBCB),S/C,APL,229,
216,Mar-2021,765,LILO of 765kV Anpara D - Unnao SC (Quad) line at Obra - CTPS,D/C,APL,17,
217,Mar-2021,400,Roza - Badaun,D/C,APL,171,
218,Mar-2021,220,LlLO of C.B.Ganj - Badaun at Badaun (OBTL-TBCB),S/C,APL,2,
219,Mar-2021,220,LlLO of Chandausi - Badaun at Badaun (OBTL-TBCB),S/C,APL,37,
220,Apr-2021,765,Ajmer (PG) - Phagi line,D/C,PGCIL,268,Central Sector
221,Apr-2021,400,Darbhanga - Sitamarhi (New) line (Ckt-II) line,D/C,PGCIL,80,Central Sector
222,Apr-2021,400,Sitamarhi (New) - Motihari line (Triple Snowbird) (ERSS XXITL-TBCB),D/C,PGCIL,171,Central Sector
223,Apr-2021,220,2nd ckt stringing of 220 kV Valve - Jamde SCDC line,S/C,MSETCL,13,State Sector
224,May-2021,400,New Mariani - Misa,D/C,PGCIL,2,Central Sector
225,May-2021,400,LILO of 400 kV Aligarh-Sikandrabad at Harduaganj TPS Line,D/C,UPPTCL,61,State Sector
226,May-2021,220,LILO of 220kV Gonda- Basti line at Bhaukhari,D/C,UPPTCL,26,State Sector
227,May-2021,220,LILO of Joda-TTPS line at Telkoi,D/C,OPTCL,29,State Sector
228,May-2021,220,LILO of onc Ckt. of 220kV Undi-Eluru (Gudivada) line to proposed S/S at Akiveedu in West Godavari District,S/C,APTRANSCO,3,State Sector
229,May-2021,220,Maradam (from 400kV Maradam) - Pydibhimavaram line,D/C,APTRANSCO,46,State Sector
230,Jun-2021,400,Jigmeling - Alipurdauar line (Q) (India Side),D/C,PGCIL,326,Central Sector
231,Jun-2021,400,LILO of Sagardighi - Subhasgram line at Jeerat,S/C,PGCIL,2,Central Sector
232,Jun-2021,220,Akkaram-Markook,D/C,TSTRANSCO,18,State Sector
233,Jun-2021,220,Greater Noida (765) - Integrated township Gr. Noida line,D/C,UPPTCL,80,State Sector
234,Jun-2021,220,LILO of Nirmal - Renzal at Mupkal,S/C,TSTRANSCO,1,State Sector
235,Jun-2021,220,LILO of one Ckt. of Mamidipally - Shadnagar at Kothur S/S,D/C,TSTRANSCO,1,State Sector
236,Jun-2021,220,LILO of one Ckt. of Shamshabad - Kethireddypalli (Manikonda) at Kothur S/S,D/C,TSTRANSCO,19,State Sector
237,Jun-2021,220,Manuguru - BTPS,D/C,TSTRANSCO,46,State Sector
238,Jun-2021,220,(PMDP - Jammu) LILO of Hiranagar - Bishnah at Jatwal Grid station,D/C,JKPDD,4,State Sector
239,Jun-2021,220,Rajgarh (B) - Susner (Nalkheda),DCDS,MPPTCL,124,State Sector
240,Jun-2021,220,Ramadugu - Rampur,D/C,TSTRANSCO,70,State Sector
241,Jun-2021,220,Ujjain - Susner (Nalkheda) (GEC),DCDS,MPPTCL,160,State Sector
256,Jul-2021,220,Julurupadu - Pedagopathi line,D/C,TSTRANSCO,90,State Sector
257,Jul-2021,220,Kethireddypally (Manikonda) - Kankamamidi line,D/C,TSTRANSCO,9,State Sector
258,Jul-2021,220,LILO of both Ckts. Durshed-Sirchilla line at Ramadugu,D/C,TSTRANSCO,48,State Sector
259,Jul-2021,220,LILO of Ckt.-I Mainpuri (PG) - Neebkarori line at Farrukhabad,D/C,UPPTCL,16,State Sector
260,Jul-2021,220,LILO of Dindi - Maheshwaram at Madugula,D/C,TSTRANSCO,6,State Sector
261,Jul-2021,220,LILO of Hiranagar-Bishnah line at Samba,D/C,JKPDD,11,State Sector
262,Jul-2021,220,LILO of Oglapur - Durshad at Huzurabad,D/C,TSTRANSCO,20,State Sector
263,Jul-2021,220,LILO of Regumangadda - Gudipalligattu at Yelluru Water Grid s/s,D/C,TSTRANSCO,7,State Sector
264,Jul-2021,220,LILO of RSS -Bheemgal Feeder at Rampur s/s,D/C,TSTRANSCO,2,State Sector
265,Jul-2021,220,LILO of RSS -Nagaram at Ramagundam Fertillizers and Chemicals Limited (RFCL),D/C,TSTRANSCO,22,State Sector
266,Jul-2021,220,LILO of RSS -Nrimal at Jagityal line,D/C,TSTRANSCO,3,State Sector
267,Jul-2021,220,LILO of Shamshabad-Yeddumailaram line and Shadnagar-Shankerpally line to proposed at Kethireddypally,D/C,TSTRANSCO,14,State Sector
268,Jul-2021,220,LILO of Thein-Hiranagar at Kathua-II (Ghatti),D/C,JKPDD,5,State Sector
269,Jul-2021,220,LILO of Vemnur-Nirmal to 220kv Jagityal s/s,D/C,TSTRANSCO,3,State Sector
270,Jul-2021,220,LILO of Yelluru - Gudipalligattu at Gouridevipally,S/C,TSTRANSCO,4,State Sector
271,Jul-2021,220,Maheshwaram 400/220 kV SS to Fabcity 220kV SS,D/C,TSTRANSCO,47,State Sector
272,Jul-2021,220,Malayammma - Kunnamangalam,M/C,KSEB,15,State Sector
273,Jul-2021,220,Mitha - Katosan TSS line,D/C,GETCO,33,State Sector
274,Jul-2021,220,Narketpally - Udaya Samudram (LIS),D/C,TSTRANSCO,18,State Sector
275,Jul-2021,220,Narsapur -Meenajipet line,D/C,TSTRANSCO,48,State Sector
276,Jul-2021,220,Nirmal -Renzal line,D/C,TSTRANSCO,136,State Sector
277,Jul-2021,220,Nirmal s/s - Existing 220/132kV Nirmal s/s,D/C,TSTRANSCO,9,State Sector
278,Jul-2021,220,Radhanesda - Vav (Khimanvas) line with AL-59 Conductor,D/C,GETCO,73,State Sector
279,Jul-2021,220,Rampur -Rajeshwar Rao Peta s/s,D/C,TSTRANSCO,72,State Sector
280,Jul-2021,220,Shahjahanpur PG (400)- Azizpur line,D/C,UPPTCL,49,State Sector
281,Jul-2021,220,Sitapuram -Huzurnagar line,D/C,TSTRANSCO,59,State Sector
282,Jul-2021,220,Sundilla - Annaram line,D/C,TSTRANSCO,58,State Sector
283,Jul-2021,220,Sundilla - Medigadda line,D/C,TSTRANSCO,148,State Sector
284,Jul-2021,400,LILO of both ckt. of Ranchi - Maithon-RB line at Dhanbad (NKTL-TBCB),D/C,APL,5,Private Sector
242,Jul-2021,765,Vindhyachal - Varansai line,D/C,PGCIL,379,Central Sector
243,Jul-2021,400,Edayarpalayam (TANTRANSCO)- Udumulpet line (Q),D/C,PGCIL,94,Central Sector
244,Jul-2021,400,Palatana - Surajmaninagar,D/C,PGCIL,24,Central Sector
245,Jul-2021,400,Pugalur HVDC-Edayarpalayam (TANTRANSCO) line (Q),D/C,PGCIL,105,Central Sector
246,Jul-2021,400,LILO of Gorakhpur (PG) - Lucknow (PG) line Ckt.-III at Basti,D/C,UPPTCL,47,State Sector
247,Jul-2021,400,LILO of Ibrahim Patti (PGCIL) - Kasaramau (Mau) at Rasra,D/C,UPPTCL,74,State Sector
248,Jul-2021,230,Dharmapuri (Palavadi) - Udanapally 230 kV S,D/C,TANTRANSCO,115,State Sector
249,Jul-2021,230,Thiruvalam - Singarapet Feeder (Loc1 to 4),D/C,TANTRANSCO,2,State Sector
250,Jul-2021,220,2nd ckt. Stringing on existing line from Malyalpally - Jagityal line,S/C,TSTRANSCO,58,State Sector
251,Jul-2021,220,400/220 kV Janagaon s/s -220/132/33 Janagaon s/s,D/C,TSTRANSCO,7,State Sector
252,Jul-2021,220,Asupaka - Aswaroapet line,D/C,TSTRANSCO,40,State Sector
253,Jul-2021,220,Dhanonda- Deroli Ahir,D/C,HVPNL,57,State Sector
254,Jul-2021,220,Dindi - Nagarkurnool,S/C,TSTRANSCO,79,State Sector
255,Jul-2021,220,Gajwel - Akkaram (TMDC),D/C,TSTRANSCO,14,State Sector
285,Aug-2021,765,Fatehgarh-II PS - Bhadla-II section (PGCIL-RTM),D/C,PGCIL,374,Central Sector
286,Aug-2021,220,Ramgarh - Ranchi (PG) (Bypassing Gola SS) (Balance portion),S/C,DVC,95,Central Sector
287,Aug-2021,400,LILO of ckt-II of Kursi Rd PG- Unnao line at Hardoi Rd (Jehata),D/C,UPPTCL,25,State Sector
288,Aug-2021,400,LILO of ckt-I of 400 kV DC Kursi Rd PG- Unnao line at Hardoi Rd(Jehata),D/C,UPPTCL,34,State Sector
289,Aug-2021,400,Telangana STPP - Narsapur,D/C,TSTRANSCO,354,State Sector
290,Aug-2021,400,Telangana STPP - Ramadugu,D/C,TSTRANSCO,104,State Sector
291,Aug-2021,220,LILO of 220 kV Uran- JNPT MUSS line at 220 kV JNPT SEZ S/S,S/C,MSETCL,5,State Sector
292,Aug-2021,220,LILO of one Ckt. of Budhipadar-Basundhara at Lephripara s/s,D/C,OPTCL,9,State Sector
293,Aug-2021,220,LILO of one ckt of Rengali-Barkote line at Deogarh,S/C,OPTCL,25,State Sector
294,Aug-2021,220,LILO of Sector- 72 -Ranglarajpur line at Sohna Road,D/C,HVPNL,9,State Sector
295,Aug-2021,220,LILO of Vadavi - Chhatral line at Santej S/s,D/C,GETCO,51,State Sector
296,Aug-2021,220,Melasandra (New elctronic city) - Yerandanahalli,M/C,KPTCL,27,State Sector
297,Aug-2021,220,Mylasandra - Somanahalli-Naganthapura-HSR Layout,M/C,KPTCL,20,State Sector
298,Aug-2021,220,Nirmal - Indravelly (Utnoor) proposed line at Adilabad District,D/C,TSTRANSCO,199,State Sector
299,Aug-2021,220,Second Ckt. stringing Padegaon - Sawangi line,S/C on D/C,MSETCL,15,State Sector
300,Aug-2021,220,Solapur (PG) - Narangwadi,D/C,MSETCL,148,State Sector
301,Aug-2021,765,Bikaner (PG) - Khetri S/S,D/C,APL,481,Private Sector
302,Sep-2021,765,Khetri - Jhatikara line (CKt-I),D/C,PGCIL,146,Central Sector
303,Sep-2021,765,Medinipur - Jeerat (New) (PM-JTL-TBCB),D/C,PGCIL,338,Central Sector
304,Sep-2021,400,Bhadla-II PS-Bhadla (PG) line (CKt-I),D/C,PGCIL,48,Central Sector
